INFO 2020-10-28 13:05:45,995 登录功能开始
INFO 2020-10-28 13:05:46,082 输入用户名
INFO 2020-10-28 13:05:46,142 输入密码
INFO 2020-10-28 13:05:46,207 单击登录
INFO 2020-10-28 13:05:59,672 登录功能开始
INFO 2020-10-28 13:05:59,777 输入用户名
INFO 2020-10-28 13:05:59,855 输入密码
INFO 2020-10-28 13:06:00,378 单击登录
INFO 2020-10-28 13:06:18,029 登录功能开始
INFO 2020-10-28 13:06:18,118 输入用户名
INFO 2020-10-28 13:06:18,195 输入密码
INFO 2020-10-28 13:06:18,250 单击登录
INFO 2020-10-28 13:06:31,625 登录功能开始
INFO 2020-10-28 13:06:31,715 输入用户名
INFO 2020-10-28 13:06:31,796 输入密码
INFO 2020-10-28 13:06:31,970 单击登录
INFO 2020-10-28 13:06:45,538 登录功能开始
INFO 2020-10-28 13:06:45,616 输入用户名
INFO 2020-10-28 13:06:45,699 输入密码
INFO 2020-10-28 13:06:45,753 单击登录
INFO 2020-10-28 13:06:59,321 登录功能开始
INFO 2020-10-28 13:06:59,410 输入用户名
INFO 2020-10-28 13:06:59,489 输入密码
INFO 2020-10-28 13:06:59,674 单击登录
INFO 2020-10-28 13:07:13,719 登录功能开始
INFO 2020-10-28 13:07:13,815 输入用户名
INFO 2020-10-28 13:07:13,891 输入密码
INFO 2020-10-28 13:07:13,976 单击登录
INFO 2020-10-28 13:09:00,063 登录功能开始
INFO 2020-10-28 13:09:00,153 输入用户名
INFO 2020-10-28 13:09:00,227 输入密码
INFO 2020-10-28 13:09:00,683 单击登录
INFO 2020-10-28 13:09:01,719 切换框架
INFO 2020-10-28 13:09:02,854 点击客户信息
INFO 2020-10-28 13:09:03,059 切换框架
INFO 2020-10-28 13:09:03,564 点击添加
INFO 2020-10-28 13:09:03,655 添加姓名
INFO 2020-10-28 13:09:03,753 添加出生日期
INFO 2020-10-28 13:09:03,814 添加创建人
INFO 2020-10-28 13:09:03,896 添加email
INFO 2020-10-28 13:09:04,046 点击提交
INFO 2020-10-28 13:10:16,976 登录功能开始
INFO 2020-10-28 13:10:17,080 输入用户名
INFO 2020-10-28 13:10:17,157 输入密码
INFO 2020-10-28 13:10:17,590 单击登录
INFO 2020-10-28 13:10:18,621 切换框架
INFO 2020-10-28 13:10:19,707 点击客户信息
INFO 2020-10-28 13:10:19,913 切换框架
INFO 2020-10-28 13:10:20,891 点击添加
INFO 2020-10-28 13:10:20,966 添加姓名
INFO 2020-10-28 13:10:21,072 添加出生日期
INFO 2020-10-28 13:10:21,138 添加创建人
INFO 2020-10-28 13:10:21,228 添加email
INFO 2020-10-28 13:10:21,384 点击提交
INFO 2020-10-28 13:14:58,364 登录功能开始
INFO 2020-10-28 13:14:58,445 输入用户名
INFO 2020-10-28 13:14:58,537 输入密码
INFO 2020-10-28 13:14:58,966 单击登录
INFO 2020-10-28 13:14:59,999 切换框架
INFO 2020-10-28 13:15:01,081 点击客户信息
INFO 2020-10-28 13:15:01,289 切换框架
INFO 2020-10-28 13:15:01,717 点击添加
INFO 2020-10-28 13:15:01,792 添加姓名
INFO 2020-10-28 13:15:01,905 添加出生日期
INFO 2020-10-28 13:15:01,967 添加创建人
INFO 2020-10-28 13:15:02,059 添加email
INFO 2020-10-28 13:15:02,209 点击提交
INFO 2020-10-28 13:30:45,758 登录功能开始
INFO 2020-10-28 13:30:45,854 输入用户名
INFO 2020-10-28 13:30:45,940 输入密码
INFO 2020-10-28 13:30:46,492 单击登录
INFO 2020-10-28 13:32:41,502 登录功能开始
INFO 2020-10-28 13:32:41,591 输入用户名
INFO 2020-10-28 13:32:41,679 输入密码
INFO 2020-10-28 13:32:42,164 单击登录
INFO 2020-10-28 13:34:14,508 登录功能开始
INFO 2020-10-28 13:34:14,596 输入用户名
INFO 2020-10-28 13:34:14,679 输入密码
INFO 2020-10-28 13:34:15,159 单击登录
INFO 2020-10-28 13:38:03,683 登录功能开始
INFO 2020-10-28 13:38:03,761 输入用户名
INFO 2020-10-28 13:38:03,837 输入密码
INFO 2020-10-28 13:38:04,284 单击登录
INFO 2020-10-28 14:00:47,020 登录功能开始
INFO 2020-10-28 14:00:47,108 输入用户名
INFO 2020-10-28 14:00:47,191 输入密码
